S No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price
29,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2015,65438,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,
30,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,31652,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,26.78
31,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,66095,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,
32,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,39.58
33,Audi A6 2011-2015 35 TDI Premium,Kochi,2016,55331,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,
34,Audi A6 2011-2015 35 TDI Premium,Kochi,2015,21730,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,
35,Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,41041,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,37.56
36,Audi A6 2011-2015 35 TDI Technology,Mumbai,2015,42000,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,24.25
37,Audi A6 2011-2015 35 TDI Technology,Hyderabad,2015,50000,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,36
38,Audi A6 2011-2015 35 TDI Technology,Bangalore,2015,37500,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,32
39,Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,55975,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,35.92
40,Audi A6 2011-2015 35 TDI Technology,Coimbatore,2016,47634,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,5,
41,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,13.53 kmpl,1984 CC,177.01 bhp,5,23.5
42,Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,Petrol,Automatic,13.53 kmpl,1984 CC,177.01 bhp,5,24.22
43,Audi A6 35 TDI Matrix,Coimbatore,2017,36824,Diesel,Automatic,18.53 kmpl,1968 CC,187.74 bhp,5,39.84
44,Audi A6 35 TDI Matrix,Chennai,2015,20000,Diesel,Automatic,18.53 kmpl,1968 CC,187.74 bhp,5,35.5
45,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,Petrol,Automatic,15.26 kmpl,1798 CC,187.74 bhp,5,24.5
46,Audi A6 35 TFSI Matrix,Delhi,2018,22000,Petrol,Automatic,15.26 kmpl,1798 CC,187.74 bhp,5,41.5
47,Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,17.32 kmpl,1968 CC,184 bhp,5,27
48,Audi Q3 2012-2015 35 TDI Quattro Premium,Mumbai,2015,48000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,18.25
49,Audi Q3 2012-2015 35 TDI Quattro Premium,Mumbai,2015,48000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,18.75
50,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,19.9
51,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,22.75
52,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2016,42000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,23.5
53,Audi Q3 30 TDI Premium FWD,Mumbai,2017,31000,Diesel,Automatic,18.51 kmpl,1968 CC,147.51 bhp,5,27
54,Audi Q3 30 TDI Premium FWD,Coimbatore,2018,22060,Diesel,Automatic,18.51 kmpl,1968 CC,147.51 bhp,5,32.73
55,Audi Q3 30 TDI Premium FWD,Coimbatore,2018,53190,Diesel,Automatic,18.51 kmpl,1968 CC,147.51 bhp,5,
56,Audi Q3 30 TDI S Edition,Jaipur,2015,95000,Diesel,Manual,17.32 kmpl,1968 CC,138.13 bhp,5,
57,Audi Q3 30 TDI S Edition,Chennai,2015,69000,Diesel,Manual,17.32 kmpl,1968 CC,138.13 bhp,5,
58,Audi Q3 35 TDI Quattro Premium,Kochi,2017,37542,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,25.71
59,Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,61000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,25
60,Audi Q3 35 TDI Quattro Premium,Pune,2015,110000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,19
61,Audi Q3 35 TDI Quattro Premium,Chennai,2015,28000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,23.75
62,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,Diesel,Automatic,15.17 kmpl,1968 CC,181 bhp,5,20.37
63,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,15.17 kmpl,1968 CC,181 bhp,5,28.03
64,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,51000,Diesel,Automatic,15.17 kmpl,1968 CC,181 bhp,5,27.5
65,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,38000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,29
66,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2017,42366,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,31.93
67,Audi Q3 35 TDI Quattro Premium Plus,Ahmedabad,2015,75000,Diesel,Automatic,15.17 kmpl,1968 CC,181 bhp,5,
68,Audi Q3 35 TDI Quattro Premium Plus,Jaipur,2015,61000,Diesel,Automatic,15.73 kmpl,1968 CC,174.33 bhp,5,
69,Audi Q5 2.0 TDI,Hyderabad,2015,56000,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,35
70,Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,39.5
71,Audi Q5 2.0 TDI Premium Plus,Coimbatore,2015,60146,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,29.64
72,Audi Q5 3.0 TDI Quattro,Coimbatore,2018,32496,Diesel,Automatic,13.22 kmpl,2967 CC,241.4 bhp,5,45.62
73,Audi Q5 3.0 TDI Quattro,Bangalore,2015,63000,Diesel,Automatic,13.22 kmpl,2967 CC,241.4 bhp,5,34.5
74,Audi Q5 3.0 TDI Quattro Technology,Mumbai,2015,11964,Diesel,Automatic,13.22 kmpl,2967 CC,241.4 bhp,5,32.95
75,Audi Q5 3.0 TDI Quattro Technology,Coimbatore,2017,43827,Diesel,Automatic,13.22 kmpl,2967 CC,241.4 bhp,5,36.83
76,Audi Q5 3.0 TDI Quattro Technology,Coimbatore,2018,29091,Diesel,Automatic,13.22 kmpl,2967 CC,241.4 bhp,5,45.52
77,Audi Q5 3.0 TDI Quattro Technology,Bangalore,2017,18000,Diesel,Automatic,13.22 kmpl,2967 CC,241.4 bhp,5,
78,Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,43.74
79,Audi Q5 30 TDI quattro Premium,Mumbai,2015,52000,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,25.49
80,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,39.47
81,Audi Q5 30 TDI quattro Premium Plus,Bangalore,2015,63000,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,36
82,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2016,47293,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,38.72
83,Audi Q5 30 TDI quattro Premium Plus,Jaipur,2016,35000,Diesel,Automatic,14.16 kmpl,1968 CC,174.3 bhp,5,
84,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,46983,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,43.35
85,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53735,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,38.94
86,Audi Q7 3.0 TDI Quattro Premium Plus,Hyderabad,2015,50000,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,47.5
87,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2016,31075,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,49.79
88,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,55662,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,42.83
89,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53093,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,
90,Audi Q7 3.0 TDI Quattro Technology,Kochi,2018,11287,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,70.36
91,Audi Q7 35 TDI Quattro Premium Plus,Mumbai,2015,65938,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,38
92,Audi Q7 35 TDI Quattro Premium Plus,Kochi,2016,72132,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,39
93,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,48
94,Audi Q7 35 TDI Quattro Technology,Coimbatore,2016,28733,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,53.11
95,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,52.5
96,Audi Q7 35 TDI Quattro Technology,Coimbatore,2016,32545,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,48.76
97,Audi Q7 35 TDI Quattro Technology,Coimbatore,2016,45180,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,7,50.22
98,Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2016,51002,Diesel,Automatic,11.33 kmpl,4134 CC,335.2 bhp,7,48.91
99,Audi Q7 4.2 TDI Quattro Technology,Bangalore,2015,50000,Diesel,Automatic,11.33 kmpl,4134 CC,335.2 bhp,7,48
100,Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2015,56238,Diesel,Automatic,11.33 kmpl,4134 CC,335.2 bhp,7,51.69
101,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,14.75 kmpl,2967 CC,245 bhp,7,72.94
102,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,Diesel,Automatic,14.75 kmpl,2967 CC,245 bhp,7,62.67
103,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,Diesel,Automatic,14.75 kmpl,2967 CC,245 bhp,7,67
104,Audi Q7 45 TDI Quattro Technology,Pune,2017,59500,Diesel,Automatic,14.75 kmpl,2967 CC,245 bhp,7,68
105,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,20.58 kmpl,1995 CC,143 bhp,5,17.22
106,BMW 1 Series 118d Base,Pune,2015,46001,Diesel,Automatic,20.58 kmpl,1995 CC,143 bhp,5,16
107,BMW 3 Series 320d GT Luxury Line,Mumbai,2015,32500,Diesel,Automatic,19.59 kmpl,1995 CC,187.74 bhp,5,26.75
108,BMW 3 Series 320d GT Luxury Line,Mumbai,2017,8000,Diesel,Automatic,19.59 kmpl,1995 CC,187.74 bhp,5,33.75
109,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,20.75
110,BMW 3 Series 320d Luxury Line,Kochi,2015,58390,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,19.86
111,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,35.55
112,BMW 3 Series 320d Luxury Line,Kochi,2017,55389,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,28.45
113,BMW 3 Series 320d Luxury Line,Delhi,2019,87000,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,6.67
114,BMW 3 Series 320d Luxury Line,Hyderabad,2015,47000,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,29.5
115,BMW 3 Series 320d Luxury Line,Kochi,2016,62404,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,21.33
116,BMW 3 Series 320d Luxury Plus,Ahmedabad,2015,100000,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,24.75
117,BMW 3 Series 320d M Sport,Mumbai,2016,38000,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,23.99
118,BMW 3 Series 320d M Sport,Kochi,2017,23806,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,33.66
119,BMW 3 Series 320d Prestige,Mumbai,2015,56000,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,22.75
120,BMW 3 Series 320d Prestige,Hyderabad,2015,30000,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,22
121,BMW 3 Series 320d Sport,Ahmedabad,2016,40000,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,
122,BMW 3 Series 320d Sport,Coimbatore,2017,41078,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,5,
123,BMW 3 Series 320d Sport Line,Hyderabad,2015,10000,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,30
124,BMW 3 Series 320d Sport Line,Mumbai,2015,69123,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,19
125,BMW 3 Series 320d Sport Line,Pune,2018,24000,Diesel,Automatic,18.88 kmpl,1995 CC,184 bhp,5,28
126,BMW 3 Series GT 320d Luxury Line,Hyderabad,2015,36255,Diesel,Automatic,19.59 kmpl,1995 CC,184 bhp,5,33
127,BMW 3 Series GT 320d Luxury Line,Hyderabad,2015,39524,Diesel,Automatic,19.59 kmpl,1995 CC,184 bhp,5,
128,BMW 3 Series GT 320d Sport Line,Hyderabad,2015,40000,Diesel,Automatic,19.59 kmpl,1995 CC,184 bhp,5,
129,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,25.99
130,BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,25.5
131,BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,36.5
132,BMW 3 Series Luxury Line,Ahmedabad,2016,27000,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,35
133,BMW 3 Series Luxury Line,Mumbai,2016,31000,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,29.95
134,BMW 3 Series Luxury Line,Pune,2016,70000,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,27
135,BMW 3 Series Luxury Line,Kochi,2018,21936,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,37.92
136,BMW 3 Series Luxury Line,Bangalore,2017,21000,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,35
137,BMW 3 Series Luxury Line,Coimbatore,2017,34232,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,35.84
138,BMW 3 Series Luxury Line,Coimbatore,2018,25038,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,
139,BMW 3 Series Luxury Line,Coimbatore,2017,22574,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,
140,BMW 3 Series Sport,Mumbai,2016,19000,Diesel,Automatic,21.76 kmpl,1995 CC,190 bhp,5,29.99
141,BMW 5 Series 2003-2012 520d,Pune,2015,64000,Diesel,Automatic,18.48 kmpl,1995 CC,177 bhp,5,28
142,BMW 5 Series 2003-2012 530d,Coimbatore,2016,18090,Diesel,Automatic,16.2 kmpl,2993 CC,258 bhp,5,45.73
143,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,19658,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,35.84
144,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,63111,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,30.8
145,BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,19543,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,40.5
146,BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,2016,44001,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,34.51
147,BMW 5 Series 2013-2017 520d Luxury Line,Chennai,2016,30000,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,31.5
148,BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,2015,14000,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,35
149,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,76467,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,30.45
150,BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,2015,52100,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,
151,BMW 5 Series 2013-2017 520d Luxury Line,Kochi,2015,41700,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,
152,BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,2015,66508,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,
153,BMW 5 Series 2013-2017 520d M Sport,Pune,2018,7000,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,5,46
154,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,20967,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,44.56
155,BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,16900,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,44
156,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,48.63
157,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,19254,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,47.7
158,BMW 5 Series 2013-2017 530d M Sport,Kochi,2015,65266,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,31.75
159,BMW 5 Series 2013-2017 530d M Sport,Bangalore,2016,16000,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,48
160,BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,16000,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,
161,BMW 5 Series 2013-2017 530d M Sport,Kochi,2018,16409,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,
162,BMW 5 Series 2013-2017 530d M Sport,Kochi,2015,58898,Diesel,Automatic,14.69 kmpl,2993 CC,258 bhp,5,
163,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,22.48 kmpl,1995 CC,190 bhp,5,37.3
164,BMW 5 Series 520d Luxury Line,Coimbatore,2016,75637,Diesel,Automatic,22.48 kmpl,1995 CC,190 bhp,5,30.37
165,BMW 5 Series 520d Luxury Line,Kochi,2016,55615,Diesel,Automatic,22.48 kmpl,1995 CC,190 bhp,5,
166,BMW 5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,22.48 kmpl,1995 CC,187.74 bhp,5,45.86
167,BMW 5 Series 520d Sport Line,Delhi,2017,16485,Diesel,Automatic,22.48 kmpl,1995 CC,187.74 bhp,5,42.75
168,BMW 5 Series 530d M Sport,Hyderabad,2016,27000,Diesel,Automatic,18.59 kmpl,2993 CC,265 bhp,5,48
169,BMW 6 Series Gran Coupe,Kochi,2018,20004,Diesel,Automatic,17.54 kmpl,2993 CC,313 bhp,4,68.94
170,BMW 7 Series 730Ld DPE Signature,Chennai,2017,16000,Diesel,Automatic,16.77 kmpl,2993 CC,261.49 bhp,5,
171,BMW 7 Series 730Ld Eminence,Kochi,2015,29966,Diesel,Automatic,16.77 kmpl,2993 CC,261.49 bhp,5,43.6
172,BMW 7 Series 740Li,Coimbatore,2018,28060,Petrol,Automatic,12.05 kmpl,2979 CC,320 bhp,5,93.67
173,BMW 7 Series 740Li,Bangalore,2017,17465,Petrol,Automatic,12.05 kmpl,2979 CC,320 bhp,5,93
174,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,17.05 kmpl,1995 CC,190 bhp,5,29.5
175,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,17.05 kmpl,1995 CC,190 bhp,5,30.29
176,BMW X1 sDrive 20d Sportline,Chennai,2016,21000,Diesel,Automatic,17.05 kmpl,1995 CC,184 bhp,5,33
177,BMW X1 sDrive 20d Sportline,Delhi,2015,49000,Diesel,Automatic,17.05 kmpl,1995 CC,184 bhp,5,22.99
178,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,29.4
179,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,22.24
180,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,28.5
181,BMW X1 sDrive 20d xLine,Coimbatore,2019,15456,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,36.64
182,BMW X1 sDrive20d,Bangalore,2016,45000,Diesel,Automatic,17.05 kmpl,1995 CC,184 bhp,5,28.5
183,BMW X1 xDrive 20d M Sport,Kolkata,2017,27001,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,29
184,BMW X1 xDrive 20d xLine,Mumbai,2016,7000,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,27.75
185,BMW X1 xDrive 20d xLine,Delhi,2017,23000,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,28.75
186,BMW X1 xDrive 20d xLine,Kochi,2018,30733,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,29.3
187,BMW X1 xDrive 20d xLine,Coimbatore,2017,17273,Diesel,Automatic,20.68 kmpl,1995 CC,190 bhp,5,
188,BMW X3 xDrive 20d Luxury Line,Mumbai,2018,1400,Diesel,Automatic,18.56 kmpl,1995 CC,190 bhp,5,61.25
189,BMW X3 xDrive 20d xLine,Kochi,2017,36723,Diesel,Automatic,18.56 kmpl,1995 CC,190 bhp,5,32.57
190,BMW X3 xDrive20d,Bangalore,2016,45165,Diesel,Automatic,16.09 kmpl,1995 CC,184 bhp,5,41.75
191,BMW X3 xDrive20d,Coimbatore,2015,74485,Diesel,Automatic,16.09 kmpl,1995 CC,184 bhp,5,
192,BMW X3 xDrive20d Expedition,Bangalore,2015,65000,Diesel,Automatic,18.56 kmpl,1995 CC,190 bhp,5,29
193,BMW X3 xDrive20d xLine,Kochi,2017,36935,Diesel,Automatic,18.56 kmpl,1995 CC,190 bhp,5,32.64
194,BMW X3 xDrive20d xLine,Kochi,2017,41816,Diesel,Automatic,18.56 kmpl,1995 CC,190 bhp,5,32.78
195,BMW X3 xDrive30d M Sport,Coimbatore,2017,51982,Diesel,Automatic,16.55 kmpl,2993 CC,258 bhp,5,45.77
196,BMW X3 xDrive30d M Sport,Bangalore,2016,49000,Diesel,Automatic,16.55 kmpl,2993 CC,258 bhp,5,45
